# code;name;emoji
AFGHANISTAN;Afeganistão;🇦🇫
ALBANIA;Albânia;🇦🇱
ALGERIA;Argélia;🇩🇿
ANDORRA;Andorra;🇦🇩
ANGOLA;Angola;🇦🇴
ANTIGUA_AND_BARBUDA;Antígua e Barbuda;🇦🇬
ARGENTINA;Argentina;🇦🇷
ARMENIA;Armênia;🇦🇲
AUSTRALIA;Austrália;🇦🇺
AUSTRIA;Áustria;🇦🇹
AZERBAIJAN;Azerbaijão;🇦🇿
BAHAMAS;Bahamas;🇧🇸
BAHRAIN;Bahrein;🇧🇭
BANGLADESH;Bangladesh;🇧🇩
BARBADOS;Barbados;🇧🇧
BELARUS;Belarus;🇧🇾
BELGIUM;Bélgica;🇧🇪
BELIZE;Belize;🇧🇿
BENIN;Benin;🇧🇯
BHUTAN;Butão;🇧🇹
BOLIVIA;Bolívia;🇧🇴
BOSNIA_AND_HERZEGOVINA;Bósnia e Herzegovina;🇧🇦
BOTSWANA;Botsuana;🇧🇼
BRAZIL;Brasil;🇧🇷
BRUNEI;Brunei;🇧🇳
BULGARIA;Bulgária;🇧🇬
BURKINA_FASO;Burkina Faso;🇧🇫
BURUNDI;Burundi;🇧🇮
CAMBODIA;Camboja;🇰🇭
CAMEROON;Camarões;🇨🇲
CANADA;Canadá;🇨🇦
CAPE_VERDE;Cabo Verde;🇨🇻
CENTRAL_AFRICAN_REPUBLIC;República Centro-Africana;🇨🇫
CHAD;Chade;🇹🇩
CHILE;Chile;🇨🇱
CHINA;China;🇨🇳
COLOMBIA;Colômbia;🇨🇴
COMOROS;Comores;🇰🇲
CONGO;Congo;🇨🇬
COSTA_RICA;Costa Rica;🇨🇷
CROATIA;Croácia;🇭🇷
CUBA;Cuba;🇨🇺
CYPRUS;Chipre;🇨🇾
CZECHIA;Tchéquia;🇨🇿
DEMOCRATIC_REPUBLIC_OF_THE_CONGO;República Democrática do Congo;🇨🇩
DENMARK;Dinamarca;🇩🇰
DJIBOUTI;Djibuti;🇩🇯
DOMINICA;Dominica;🇩🇲
DOMINICAN_REPUBLIC;República Dominicana;🇩🇴
ECUADOR;Equador;🇪🇨
EGYPT;Egito;🇪🇬
EL_SALVADOR;El Salvador;🇸🇻
EQUATORIAL_GUINEA;Guiné Equatorial;🇬🇶
ERITREA;Eritreia;🇪🇷
ESTONIA;Estônia;🇪🇪
ESWATINI;Essuatíni;🇸🇿
ETHIOPIA;Etiópia;🇪🇹
FIJI;Fiji;🇫🇯
FINLAND;Finlândia;🇫🇮
FRANCE;França;🇫🇷
GABON;Gabão;🇬🇦
GAMBIA;Gâmbia;🇬🇲
GEORGIA;Geórgia;🇬🇪
GERMANY;Alemanha;🇩🇪
GHANA;Gana;🇬🇭
GREECE;Grécia;🇬🇷
GRENADA;Granada;🇬🇩
GUATEMALA;Guatemala;🇬🇹
GUINEA;Guiné;🇬🇳
GUINEA_BISSAU;Guiné-Bissau;🇬🇼
GUYANA;Guiana;🇬🇾
HAITI;Haiti;🇭🇹
HONDURAS;Honduras;🇭🇳
HUNGARY;Hungria;🇭🇺
ICELAND;Islândia;🇮🇸
INDIA;Índia;🇮🇳
INDONESIA;Indonésia;🇮🇩
IRAN;Irã;🇮🇷
IRAQ;Iraque;🇮🇶
IRELAND;Irlanda;🇮🇪
ISRAEL;Israel;🇮🇱
ITALY;Itália;🇮🇹
IVORY_COAST;Costa do Marfim;🇨🇮
JAMAICA;Jamaica;🇯🇲
JAPAN;Japão;🇯🇵
JORDAN;Jordânia;🇯🇴
KAZAKHSTAN;Cazaquistão;🇰🇿
KENYA;Quênia;🇰🇪
KIRIBATI;Kiribati;🇰🇮
KUWAIT;Kuwait;🇰🇼
KYRGYZSTAN;Quirguistão;🇰🇬
LAOS;Laos;🇱🇦
LATVIA;Letônia;🇱🇻
LEBANON;Líbano;🇱🇧
LESOTHO;Lesoto;🇱🇸
LIBERIA;Libéria;🇱🇷
LIBYA;Líbia;🇱🇾
LIECHTENSTEIN;Liechtenstein;🇱🇮
LITHUANIA;Lituânia;🇱🇹
LUXEMBOURG;Luxemburgo;🇱🇺
MADAGASCAR;Madagascar;🇲🇬
MALAWI;Malawi;🇲🇼
MALAYSIA;Malásia;🇲🇾
MALDIVES;Maldivas;🇲🇻
MALI;Mali;🇲🇱
MALTA;Malta;🇲🇹
MARSHALL_ISLANDS;Ilhas Marshall;🇲🇭
MAURITANIA;Mauritânia;🇲🇷
MAURITIUS;Maurício;🇲🇺
MEXICO;México;🇲🇽
MICRONESIA;Micronésia;🇫🇲
MOLDOVA;Moldávia;🇲🇩
MONACO;Mônaco;🇲🇨
MONGOLIA;Mongólia;🇲🇳
MONTENEGRO;Montenegro;🇲🇪
MOROCCO;Marrocos;🇲🇦
MOZAMBIQUE;Moçambique;🇲🇿
MYANMAR;Myanmar;🇲🇲
NAMIBIA;Namíbia;🇳🇦
NAURU;Nauru;🇳🇷
NEPAL;Nepal;🇳🇵
NETHERLANDS;Holanda;🇳🇱
NEW_ZEALAND;Nova Zelândia;🇳🇿
NICARAGUA;Nicarágua;🇳🇮
NIGER;Níger;🇳🇪
NIGERIA;Nigéria;🇳🇬
NORTH_KOREA;Coreia do Norte;🇰🇵
NORTH_MACEDONIA;Macedônia do Norte;🇲🇰
NORWAY;Noruega;🇳🇴
OMAN;Omã;🇴🇲
PAKISTAN;Paquistão;🇵🇰
PALAU;Palau;🇵🇼
PALESTINE;Palestina;🇵🇸
PANAMA;Panamá;🇵🇦
PAPUA_NEW_GUINEA;Papua-Nova Guiné;🇵🇬
PARAGUAY;Paraguai;🇵🇾
PERU;Peru;🇵🇪
PHILIPPINES;Filipinas;🇵🇭
POLAND;Polônia;🇵🇱
PORTUGAL;Portugal;🇵🇹
QATAR;Catar;🇶🇦
ROMANIA;Romênia;🇷🇴
RUSSIA;Rússia;🇷🇺
RWANDA;Ruanda;🇷🇼
SAINT_KITTS_AND_NEVIS;São Cristóvão e Névis;🇰🇳
SAINT_LUCIA;Santa Lúcia;🇱🇨
